Start,Duration,Text
292.5,3.12,up like you would go to either wpx or
294.419,2.821,something like Nexus you'd see their
295.62,3.42,plans and you choose their plans and you
297.24,3.36,can pay annually or monthly you could
299.04,3.42,choose something like the spark plan
300.6,3.36,this is for WordPress and then you just
302.46,3.48,go to checkout so you select the plan
303.96,3.12,you enter your information first last
305.94,3.06,name password your billing address
307.08,3.54,payment info you complete your purchase
309,2.82,and then it gets you into the dashboard
310.62,2.639,and these dashboards look a little bit
311.82,4.08,different but all that you have to do
313.259,4.021,really is use WordPress with them and
315.9,3.48,WordPress is the best content management
317.28,3.54,system and you install WordPress through
319.38,3.36,your host and it's usually a one-click
320.82,3.54,install so you go from your host you say
322.74,3.239,enter WordPress and then you enter
324.36,2.76,WordPress so let's run through we go
325.979,2.821,through that and then we get to what
327.12,4.68,looks like a WordPress dashboard like
328.8,4.679,this WordPress is really simple to use
331.8,3.72,um you can you know it has endless
333.479,3.241,customizations plugins themes all of
335.52,2.88,that everything's on the left hand
336.72,3.12,sidebar there's different plugins
338.4,2.82,there's different pages and posts so
339.84,3.06,we'll go through kind of using Wordpress
341.22,2.94,really quickly in a fast way for your
342.9,2.94,affiliate site first let's talk about
344.16,3.3,your theme which is under appearance
345.84,3.66,themes the theme is like you think of
347.46,3.959,Wix or Weebly it's like the design
349.5,3.18,layout of your site so we can choose a
351.419,3.481,number of different themes that are in
352.68,3.66,this WordPress repository or we find one
354.9,3.78,on our own and I recommend Cadence
356.34,4.74,Cadence WP is a great theme because they
358.68,4.26,have really perfect layouts for all
361.08,3.36,kinds of blogs content affiliate sites
362.94,2.759,they also have Cadence blocks which
364.44,2.52,allows you to create those affiliate
365.699,2.821,blocks like the things that say like
366.96,3.6,check price on Amazon check price at
368.52,3.54,Best Buy all those content blocks Pros
370.56,2.34,cons all of that kind of features you
372.06,2.28,can see they have a number of different
372.9,2.88,starter templates that you can use so
374.34,3.24,you can just check check all of these
375.78,3.06,and see which one that you like and then
377.58,2.76,we can see that when we have it we can
378.84,2.94,customize the theme inside of Wordpress
380.34,2.88,by clicking customize and it gives you
381.78,2.88,some some different settings so this is
383.22,2.759,like a little sample site we created the
384.66,2.819,cafe man
385.979,3.06,and there's colors and fonts you can
387.479,3,change so typography all that kind of
389.039,3.961,stuff all the way down to header footer
390.479,4.261,General post page layouts some you know
393,4.08,theme customization options where the
394.74,4.56,menu is home page settings how does it
397.08,3.78,display it site identity so you know add
399.3,3.66,your logo add your text and all of that
400.86,3.42,and then it's just pretty easy to to
402.96,3.6,edit these things and they all lay out
404.28,3.479,in a simple format and you know with
406.56,3.18,cadence if you're interested in learning
407.759,3.241,like the exacts Click by click process I
409.74,3.06,don't want to cover in this full this
411,3.36,video exactly it'll take like a 45
412.8,2.88,minutes to show you every little detail
414.36,2.399,of this but you can click the link in
415.68,2.459,the description below sign up for my
416.759,2.701,free Master Class where we cover all of
418.139,3.12,this stuff and more another nice thing
419.46,3.72,with cadence is they have Cadence blocks
421.259,3.78,so in the left hand sidebar you can go
423.18,4.019,to all your posts view your blog posts
425.039,3.961,go into individual ones that we want to
427.199,3.241,create and we know that blog posts have
429,3.12,a very similar format when it comes to
430.44,3.18,affiliate content so we'll cover the
432.12,3,exact formula and show you some examples
433.62,3.359,but we can see that like Cadence blocks
435.12,3.84,is it builds its own table of contents
436.979,3.301,maker with pulling headings in if we'd
438.96,4.019,enter and choose a new line we can
440.28,4.139,select browse what we want to add and we
442.979,2.461,can see Cadence blocks here and we can
444.419,3.06,add all kinds of different things
445.44,3.96,Advanced but countdowns Google Maps
447.479,3.421,icons Advanced images
449.4,3.239,Celia posts are really simple to write
450.9,4.019,you know it's about using Wordpress
452.639,3.78,because it has the best functionality
454.919,2.941,for creating these types of posts what
456.419,4.381,do we need when we need headings to tell
457.86,5.22,Google what this post is H1 H2 content
460.8,3.78,and then what's nice is again we go back
463.08,3.72,to we're assembling content we're not
464.58,3.54,just writing from a blank page there's a
466.8,3,specific way to write these kinds of
468.12,3.359,affiliate articles that rank with
469.8,3.6,headings and then you can see that this
471.479,3.84,is a nice Cadence block with two columns
473.4,3.96,image on the left side text on the right
475.319,4.32,with a button check price on Amazon with
477.36,4.679,a nice border around it top pick but you
479.639,4.081,can create these very simple affiliate
482.039,3.6,content blocks with cadence doesn't
483.72,3.72,require any coding just adding a few
485.639,3.421,little uh templates in so next let's
487.44,3.3,talk about the different plugins that
489.06,2.88,you can use so plugins extend the
490.74,2.76,functionality of Wordpress there's
491.94,3.06,plugins for everything like if you're
493.5,3.539,running a barber shop you get a calendar
495,3.599,Plug-In or you know reservation plug-in
497.039,2.461,for a restaurant but really when it
498.599,2.28,comes to blogging there's just some
499.5,4.319,plugins that we need we need like speed
500.879,5.16,plugins image optimization and affiliate
503.819,4.38,marketing security and a few others but
506.039,3.361,if you look at the um the plugins that
508.199,2.101,we have installed you can see the
509.4,2.819,there's different ones so there's
510.3,3.84,Cadence blocks so we installed that and
512.219,3.361,starter templates rank math is a good
514.14,3.06,one for SEO that you can use and that
515.58,3.899,optimizes your blog post meta
517.2,4.079,description indexes your site and Google
519.479,3.901,if you set it up correctly do all that
521.279,4.261,that's really simple to use short pixel
523.38,4.2,is a good image optimization tool that
525.54,3.9,one allows you to every time you upload
527.58,3.78,an image into your WordPress Library it
529.44,3.66,condenses it down into a smaller JPEG
531.36,3.599,file then there's thirsty Affiliates
533.1,4.38,which is a really good one for
534.959,4.261,uh managing and organizing all of your
537.48,3.18,affiliate links so we'll cover joining
539.22,3.36,affiliate programs but you add them into
540.66,3,this tool as you can see in thirsty
542.58,3.18,Affiliates you can view all your
543.66,3.48,affiliate links you click them here you
545.76,3.72,paste your affiliate link into the
547.14,3.9,destination URL you give it a name you
549.48,2.82,can organize it categorize it and save
551.04,3.18,link and we always want to make sure
552.3,3.9,that links are no follow and open in a
554.22,3,new tab but you know plugins are really
556.2,2.46,useful there's a ton of different
557.22,3.78,plugins that you can have if you want to
558.66,3.66,add new ones there's also word fund
561,3.3,security which is free which is a good
562.32,3.6,one you can go to add new and then you
564.3,3.86,can go through the plugin library and
565.92,4.56,see what there is so a lot of sites come
568.16,4.66,preloaded with jetpack which is a little
570.48,3.539,bit bloated and slows your site down you
572.82,2.28,can use classic editor but you can look
574.019,2.701,through but these are the ones that I
575.1,3.9,recommend or something just to get
576.72,4.26,started use some of these on this list
579,3.779,here there's a few extra plugins I like
580.98,3.6,too there's one called mammoth.docx
582.779,4.021,converter it's another free tool this
584.58,4.199,allows you to upload Google Docs
586.8,3.479,directly into WordPress so if you have
588.779,2.521,it formatted correctly in Google Docs
590.279,2.701,you can add it to Wordpress this is
591.3,4.32,helpful if you have like somebody
592.98,4.02,writing for you or a content writer or
595.62,2.7,you're writing guest posts and it's
597,3.72,really good so you get comfortable with
598.32,3.72,Google Docs and do that WP Rocket's also
600.72,3.299,a good one this is a paid tool but this
602.04,3.419,is the best like speed optimization tool
604.019,2.94,on WordPress there's plenty of good
605.459,3.301,tutorials online of like the exact
606.959,3.961,settings for WP rocket but that's one I
608.76,4.259,use and I recommend for Speed there's
610.92,3.419,easy table of contents which you can use
613.019,2.581,this one if you don't have Cadence or
614.339,3.481,you want to use something different but
615.6,4.2,the table of content solution that kind
617.82,3.3,of works and organizes your content and
619.8,2.64,that's really it so really when we think
621.12,4.56,about the minimum cost to get started
622.44,5.94,let's say we're using wpx 25 a month new
625.68,5.219,domain name might be 13 a year and you
628.38,4.68,pay for WP rocket let's say at 59 a year
630.899,3.301,and then short pixel you pay based on
633.06,2.82,the number of images you need to
634.2,3.24,optimize it's pretty cheap though like
635.88,3.48,ten dollars might get you could get you
637.44,3.42,thousands of images probably but the
639.36,3.3,total cost to get started of a website
640.86,4.86,for affiliate marketing is about 107
642.66,4.679,plus 20 to 25 a month so when we talk
645.72,3.119,about building your minimum viable
647.339,2.94,website that's what I call it a minimum
648.839,3.361,viable site something that's good enough
650.279,3.12,but you haven't perfected it we're not
652.2,2.639,perfectionist here we don't want to
653.399,3.301,spend a month creating a website we can
654.839,3.481,do this in a day or two here's the core
656.7,4.079,four pages you need you need a home page
658.32,4.139,an about page a Blog archive page where
660.779,3,your posts go and then a Blog template
662.459,2.581,so how your blogs are laid out and this
663.779,3.24,is all kind of set up for you but when
665.04,4.5,we think of a home page it's really just
667.019,3.781,here's like a backlinko example kind of
669.54,3.419,looks similar to my home page where it's
670.8,3.96,like you have a main sentence your value
672.959,2.88,proposition at the top and the thing
674.76,2.34,that's good about a homepage when you're
675.839,2.761,first starting your site you can change
677.1,2.94,it an infinite number of times I've
678.6,3.299,changed that sentence on my site
680.04,3.6,probably a hundred times by now because
681.899,3.12,my site's changed and evolved and
683.64,3.18,because it was at my name I could change
685.019,3.721,it and change different things but
686.82,3.24,really a home page is just if you look
688.74,2.82,at it in two seconds I need to
690.06,3,understand what this is about and this
691.56,2.76,is an opportunity to put your face out
693.06,3,there I know it can be uncomfortable for
694.32,3.3,some people you don't have to but you
696.06,4.019,can but a home page should be lead
697.62,4.14,collection so you know building an email
700.079,2.76,list potentially for the future even if
701.76,2.579,you don't have a product yet it's always
702.839,3.18,good to have like at least capturing
704.339,3,people's email and then just a few
706.019,3.361,things about you it doesn't need to be
707.339,3.961,long then an about page should be really
709.38,3.66,a personal story not really about like
711.3,3.18,your accomplishments and everything like
713.04,3,a LinkedIn profile how you're perfect
714.48,3.12,how you're good at this and good at that
716.04,2.88,and you went to this it should be a
717.6,3.78,really good story if you check mine out
718.92,4.5,at adaminfo.com it's more like from my
721.38,3.6,birth all the mistakes I made a little
723.42,3.359,bit about how I started the blog but you
724.98,3.419,should be very vulnerable and share
726.779,2.641,yourself with the world on your about
728.399,2.581,page
729.42,2.96,then you have a Blog archive so that's
730.98,4.5,kind of where your blog lives
732.38,4.6,so.yoursite.com blog and you can dictate
735.48,2.7,that with your theme just choosing how
736.98,3.06,it laid out so you might have a three
738.18,3.839,column layout it might be a one column
740.04,3.18,layout it doesn't really matter honestly
742.019,2.82,these things are kind of going by the
743.22,2.94,wayside people are going to find you by
744.839,3.481,Googling something and visiting your
746.16,3.72,article first so as long as it looks
748.32,3.3,good you don't have to worry about that
749.88,3.66,too much and then a Blog template this
751.62,3.36,will be set up for you in your theme how
753.54,3.78,everything's laid out what your headings
754.98,4.56,look like is there a right hand sidebar
757.32,3.48,or not you know how that works so it's
759.54,2.46,pretty simple so with affiliate
760.8,2.94,marketing you need to think like a
762,3.959,marketer not a writer this is not
763.74,3.36,writing this is monetizing content so
765.959,2.761,you have to be strategic with your
767.1,3.12,approach that's writing keyword research
768.72,2.7,and the layout of your posts so first
770.22,2.94,let's talk about the type of content you
771.42,4.02,have to create there's really just two
773.16,4.2,for affiliate marketing and a Blog in
775.44,3.959,general there's how people use Google
777.36,4.14,and how websites make money there's
779.399,4.201,informational content so how to do stuff
781.5,3.839,pieces of information in your Niche then
783.6,3.84,there's transactional so that's things
785.339,4.381,like best credit cards best camping gear
787.44,4.74,best modular sectionals best living room
789.72,4.5,sofas best patio furniture everything
792.18,4.62,that has best signifies search intent
794.22,3.84,signifies buyer intent and that's where
796.8,2.52,list posts come in when you're
798.06,3.24,recommending and comparing the best
799.32,4.259,products that is 99 of affiliate
801.3,3.839,revenues made through posts like that so
803.579,3.121,we can see that informational post they
805.139,3.121,might have a lot of search volume people
806.7,3.96,search for things about how to do things
808.26,4.68,a lot that can make ad Revenue passive
810.66,4.2,ad Revenue because if you're searching
812.94,3.959,like how to start a business or how to
814.86,3.659,tie your shoes you're not ready to
816.899,3.12,really buy an affiliate product yet but
818.519,3.06,it might be searched a lot so you might
820.019,3.421,as well put banner ads on those types of
821.579,3.181,posts and then affiliate Revenue comes
823.44,2.579,through transactional posts so I'm going
824.76,2.819,to break this down for you so first we
826.019,3.661,have to be strategic with our keywords
827.579,3.601,that's things like search volume and
829.68,3.36,competition so I'm going to give you
831.18,3.48,some examples we'll go through these in
833.04,3.66,what I call the keyword monetization
834.66,4.679,Matrix so there's four different types
836.7,3.72,of keywords that your blog can have and
839.339,3.12,there's two main ones that you need to
840.42,4.2,be focusing on so on the left hand side
842.459,3.901,here we have search volume which is how
844.62,3.18,many times it's searched a month so the
846.36,2.94,more it's searched the more potential
847.8,3.96,traffic you have and then on the bottom
849.3,4.08,we have competition so left to right how
851.76,3.12,competitive is it how many Authority
853.38,3.899,sites are in there how difficult is it
854.88,4.62,to rank for so first let's cover low
857.279,4.921,volume info post so this is low low
859.5,4.98,search volume and low competition these
862.2,3.96,are not that valuable however these are
864.48,2.94,what we call Early wins if you're just
866.16,3.359,starting your affiliate marketing
867.42,3.84,website and you have no traffic yet you
869.519,3.181,have no domain Authority these are some
871.26,3.66,of the ones that can help you get out of
872.7,3.66,that Google sandbox and start ranking
874.92,3.12,for anything you want to start ranking
876.36,3.36,for almost anything in your Niche so
878.04,3.659,that's low volume informational posts
879.72,4.44,what I call Early wins so this example
881.699,4.741,is like the home Niche home living room
884.16,4.44,furniture that kind of stuff so one
886.44,4.199,that's low volume informational this
888.6,3.96,tiny house kitchen ideas pretty Niche
890.639,3.541,pretty long tail not really going to
892.56,3.36,make money because it's an ideas post
894.18,3,people are just looking for inspiration
895.92,3.779,they're not going to purchase something
897.18,3.779,however it could be an early win for
899.699,2.461,your website you could start ranking for
900.959,3.12,something like this a lot quicker
902.16,3.6,because it's not competitive and it's
904.079,3.301,not searched a ton but you can actually
905.76,3.24,rank for it so that's kind of a good
907.38,4.259,starting point for some of your articles
909,4.199,next I want to cover high volume info
911.639,3.901,posts so we see that the search volume
913.199,3.961,is high the competition is generally low
915.54,3.72,and the these are great these are what I
917.16,3.96,call brand builders so you can get a lot
919.26,4.139,of traffic with these low competition
921.12,3.959,high volume there's not about a bunch of
923.399,3.3,search intent to make transactional
925.079,3.541,affiliate Revenue but these are
926.699,4.26,informational keywords so things like
928.62,4.38,dorm room ideas it's searched a lot
930.959,4.201,there's not a ton of competition for it
933,3.54,and it's a pretty high quality post
935.16,3.84,because you can get a lot of traffic for
936.54,4.5,it these ones can make ad Revenue
939,4.019,now we're moving over to the other side
941.04,4.44,this is high surge volume High
943.019,4.44,competition think of antiques this is
945.48,3.419,what I call antique keywords so things
947.459,3.541,that have been around for a long time
948.899,4.68,that are probably impossible to rank for
951,4.56,in the 2020s something like best vacuum
953.579,4.861,cleaner something that's been around for
955.56,5.04,ages best refrigerator best vpns best
958.44,3.24,web hosting good luck you're probably
960.6,3.479,not going to rank for it on your
961.68,4.5,affiliate website in the 2020s maybe if
964.079,3.361,you wrote that post 15 years ago but
966.18,4.14,it's difficult so these are high
967.44,5.16,competition High search volume keywords
970.32,3.78,that are transactional there might be a
972.6,2.88,few in here that you can rank for if you
974.1,2.88,look at the keyword research tools but
975.48,2.94,it'll be difficult
976.98,4.14,and then finally we have lower
978.42,4.38,competition transactional posts so these
981.12,3.899,are like medium competition potentially
982.8,4.02,medium search volume but they're kind of
985.019,3.961,living in this box here these are
986.82,4.56,emerging products so this could be
988.98,4.32,something like best modular sectional
991.38,3.84,not very competitive yet not too
993.3,4.02,competitive not overly competitive a
995.22,4.14,newer product with decent search volume
997.32,3.66,and that is where affiliate marketing
999.36,4.08,lives so these are the two right here
1000.98,4.56,you want high volume info posts ideas
1003.44,4.199,posts things in your Niche that can make
1005.54,4.32,you affiliate ad revenue and get a lot
1007.639,5.521,of traffic to your website and then
1009.86,5.159,affiliate Revenue with these longer tail
1013.16,4.919,emerging products in your Niche these
1015.019,4.38,are the two best plus you know the
1018.079,3.361,keywords in your Niche that can make you
1019.399,3.661,money that are new and then also high
1021.44,3.18,volume brand builders so these are the
1023.06,3.3,two right here so let's break this down
1024.62,4.079,really quick in my favorite SEO tool
1026.36,3.78,hrefs so I'm going to show some examples
1028.699,3.541,here of different keywords and we'll go
1030.14,3.24,through it so again keyword is at the
1032.24,2.699,heart of your affiliate marketing
1033.38,3.36,strategy we don't like choose an
1034.939,3.48,affiliate program and then try to
1036.74,3.66,promote this brand and blast stuff on
1038.419,3.42,Facebook it starts with search intent
1040.4,3.84,which it starts with ranking for
1041.839,4.141,keywords online and that become it comes
1044.24,3.42,down to understanding this stuff at the
1045.98,2.88,snap of a finger knowing this is a good
1047.66,2.519,opportunity this is not a good
1048.86,3.18,opportunity so I'm going to go through
1050.179,3.781,this keyword monetization matrix real
1052.04,3.42,quick and give you examples so
1053.96,3.54,let's look at the bad examples the best
1055.46,3.48,vacuum cleaners the difficulty is hard
1057.5,3.12,it's been around for a long time high
1058.94,3.42,volume traffic potential is all you
1060.62,3.6,could get a hundred thousand visitors a
1062.36,2.819,month just for this keyword but it's
1064.22,3.06,pretty difficult let's look at who's
1065.179,3.841,ranking for this uh we have New York
1067.28,4.139,Times Good Housekeeping the spruce
1069.02,4.5,ratings CNN tech radar times guide
1071.419,3.421,consumerreports and people.com the
1073.52,3.84,chances of a new blog ranking for this
1074.84,4.079,are at probably zero at this point so
1077.36,3.24,that's why it's a bad example if you
1078.919,3.901,look at the top 10 ranking sites here on
1080.6,4.26,ahrefs too competitive I mean these
1082.82,3.42,these websites are massive and
1084.86,3.48,authoritative so it would be difficult
1086.24,4.5,so that why this is tough the volume's
1088.34,4.14,high but it's just kind of too much
1090.74,4.14,different a different example here is
1092.48,4.92,the best modular sectional we can see
1094.88,5.46,this was not searched at all in 2017
1097.4,4.62,2018 2019 is searched now it's you know
1100.34,3.24,in the last three years it has good
1102.02,3.539,search volume the difficulty is a lot
1103.58,3.719,lower meaning this is a number from zero
1105.559,4.381,to 100 based on how difficult it is to
1107.299,4.38,rank for this that's easier the traffic
1109.94,3.42,potential is 27k which is actually
1111.679,3.661,really high but the volume is a bit
1113.36,4.02,lower than best vacuum cleaners but if
1115.34,4.32,we look at the examples here we can see
1117.38,3.659,there are signs that we can Rank and
1119.66,2.94,what we're looking for here is low
1121.039,3.481,Authority sites on the first page
1122.6,3.78,ranking on Google that's a sign that you
1124.52,4.56,can too so we see yes there is the
1126.38,4.74,spruce.com yes there is Forbes however
1129.08,3.54,when we look at domain rating which is a
1131.12,3.24,number from 0 to 100 based on the
1132.62,3.84,authority of the site we can see there
1134.36,4.5,are low sites here on the first page so
1136.46,5.839,there's bethr martin.com
1138.86,5.699,there is decorhint.com
1142.299,4.12,inspireddesigntalk.com as well so these
1144.559,4.62,are three sites with domain ratings
1146.419,5.341,under 40. one's a 22 not many backlinks
1149.179,4.38,to it pretty new site and it's ranking
1151.76,3.779,on page one getting a good amount of
1153.559,3.48,traffic for that keyword so that's a
1155.539,3.121,good sign a newer and emerging product
1157.039,3.901,is easier to rank for a little bit
1158.66,3.96,longer tail less competition and you see
1160.94,3.42,low low Authority sites on the first
1162.62,4.32,page the other example here was tiny
1164.36,5.819,house kitchen ideas so low volume
1166.94,5.479,low difficulty again we see a few low
1170.179,4.201,Authority sites here on the first page
1172.419,3.401,lilliancabinets.com is ranking for that
1174.38,3.539,so this is you know you just look for
1175.82,4.02,these opportunities we'll cover that and
1177.919,3.661,then dorm room ideas so something that
1179.84,3.3,is pretty good search volume eleven
1181.58,2.76,thousand anything over 10 I consider
1183.14,3.84,pretty high and like that's worth
1184.34,4.56,writing for an ideas type of article
1186.98,5.52,and we can see here
1188.9,6.18,like by Sophia Lee who has a
1192.5,5.52,teachers blogging uh she has dorm room
1195.08,5.04,ideas ranking here so makes sense and
1198.02,3.84,she's a 56 not that high so you'll find
1200.12,3.54,examples so every Niche is a little bit
1201.86,3.36,different if I just put in ideas so
1203.66,4.44,let's talk about informational posts
1205.22,4.319,first I can put in ideas and I can look
1208.1,3,at matching terms here and I can see
1209.539,3.661,well here's all the ideas in the world
1211.1,4.439,dinner ideas painting ideas Halloween
1213.2,4.44,ideas what if I made the max keyword
1215.539,3.961,difficulty 10 and I made it really low
1217.64,3.36,competition ideas post what would I find
1219.5,3.96,well I can see there's things like
1221,4.4,graduation cap ideas birthday a lot of
1223.46,4.44,birthday party things that aren't
1225.4,4.24,competitive at all I see that with like
1227.9,3,there's actually a lot of that so if you
1229.64,3.3,wanted to write about birthday party
1230.9,3.48,parties and celebration ideas you could
1232.94,2.88,probably get a ton of traffic to a site
1234.38,3,around that but you do that and then
1235.82,4.68,maybe you put in your Niche plus ideas
1237.38,5.039,so I would put in like Kitsch um
1240.5,3.059,living room ideas
1242.419,2.941,and then I could look at different
1243.559,3.24,things in there and I could see okay a
1245.36,2.819,lot of this is competitive like living
1246.799,3.421,room ideas is but not living room
1248.179,4.021,curtain ideas Farmhouse living room
1250.22,3.48,ideas apartment living room ideas these
1252.2,2.88,are all things we could rank for and
1253.7,4.32,what's interesting is informationally
1255.08,4.26,there's you know different types of seed
1258.02,2.88,keywords that you can use in the niche
1259.34,3.42,so if your home blog it's probably ideas
1260.9,3.659,living room kitchen ideas patio ideas
1262.76,2.94,but if you're in Fitness and you're
1264.559,3.421,running the fitness Niche you want to
1265.7,3.66,create a fitness affiliate website we're
1267.98,2.46,creating these posts to get a lot of
1269.36,2.22,traffic they're not going to make that
1270.44,3.119,affiliate Revenue but they're going to
1271.58,3.54,build the business as a whole so for
1273.559,2.761,that it would be like exercises if
1275.12,3.179,you're in Fitness
1276.32,3.96,you could find matching terms there you
